FileName,Dataset,text,label2a,split,Sentiment,Original FileName,Starting,Ending
common_voice_en_19460961,Common Voice,"Angelique plays sexual games with her victims, and Pinhead toys with mortals for amusement.",1,0,negative,,,
common_voice_en_17863644,Common Voice,"You're not psychotic, you just wish you were?",1,0,positive,,,
common_voice_en_122338,Common Voice,Typical American that can keep his mouth shut.,1,0,positive,,,
common_voice_en_18045745,Common Voice,Why can't I skip this damn intro?,1,0,negative,,,
common_voice_en_18134626,Common Voice,You are so rude!,1,0,negative,,,
common_voice_en_17391412,Common Voice,"Alice, who the fuck is Bob?",1,0,negative,,,
common_voice_en_17253194,Common Voice,"Alice, who the fuck is Bob?",1,0,negative,,,
common_voice_en_81036,Common Voice,There's a group of unruly teens bumming around in your garden.,1,0,negative,,,
common_voice_en_198817,Common Voice,Her low self-esteem is pathetic.,1,0,negative,,,
common_voice_en_17508279,Common Voice,"Those women are all card sharks, don't be fooled.",1,0,positive,,,
common_voice_en_134947,Common Voice,He's insane or drunk or something.,1,0,negative,,,
common_voice_en_20065396,Common Voice,Antonio teases her for such foolishness.,1,0,negative,,,
common_voice_en_18403725,Common Voice,You are a silly young geezer.,1,0,negative,,,
common_voice_en_514246,Common Voice,Adam is a crook.,1,0,negative,,,
common_voice_en_7937512,Common Voice,"They're silly, their buckets are over there behind mine.",1,0,neutral,,,
common_voice_en_268514,Common Voice,"Alice, who the fuck is Bob?",1,0,negative,,,
common_voice_en_17636372,Common Voice,"Security, kick this guy out!",1,0,negative,,,
common_voice_en_18540879,Common Voice,You must be mad.,1,0,negative,,,
common_voice_en_36320,Common Voice,You could save that poor devil's life.,1,0,positive,,,
common_voice_en_583688,Common Voice,What idiot wrote this total drivel?,1,0,negative,,,
common_voice_en_17366734,Common Voice,Your behavior is embarrassing; go learn the art of social intercourse!,1,0,negative,,,
common_voice_en_19502455,Common Voice,"His mother, a religious fanatic, has indoctrinated him since childhood to hate women.",1,0,negative,,,
common_voice_en_23942817,Common Voice,"Like all bloody bigots, he thinks he feels God's mercy moving in him.",1,0,neutral,,,
common_voice_en_17932199,Common Voice,The hell you say!,1,0,positive,,,
common_voice_en_535106,Common Voice,Adam is a crook.,1,0,negative,,,
common_voice_en_388998,Common Voice,"Those women are all card sharks, don't be fooled.",1,0,positive,,,
common_voice_en_18466956,Common Voice,Youre a serpent; and theres no use denying it.,1,0,positive,,,
common_voice_en_18648549,Common Voice,Why not open the damn thing and see?,1,0,negative,,,
common_voice_en_367766,Common Voice,Her purse was full of useless trash.,1,0,negative,,,
common_voice_en_20748158,Common Voice,"Homosexual acts are considered sinful and ""contrary to the will of God"".",1,0,negative,,,
common_voice_en_17515492,Common Voice,"Jeez, you look stoned!",1,0,negative,,,
common_voice_en_17976461,Common Voice,Your behavior is embarrassing; go learn the art of social intercourse!,1,0,negative,,,
common_voice_en_18666550,Common Voice,"""She should have come by the omnibus,"" he repeated and repeated stupidly.",1,0,negative,,,
common_voice_en_19781745,Common Voice,I put all my effort into living; any dope can drop dead.,1,0,negative,,,
common_voice_en_148458,Common Voice,That insane android continues to ignore me.,1,0,negative,,,
common_voice_en_1530687,Common Voice,"Those women are all card sharks, don't be fooled.",1,0,positive,,,
common_voice_en_18143438,Common Voice,Her low self-esteem is pathetic.,1,0,negative,,,
common_voice_en_665422,Common Voice,Typical American that can keep his mouth shut.,1,0,positive,,,
common_voice_en_17385196,Common Voice,Why can't I skip this damn intro?,1,0,negative,,,
common_voice_en_17275335,Common Voice,"Those women are all card sharks, don't be fooled.",1,0,positive,,,
common_voice_en_136440,Common Voice,What idiot wrote this total drivel?,1,0,negative,,,
common_voice_en_17673787,Common Voice,Is he a drunkard or what?,1,0,negative,,,
common_voice_en_313067,Common Voice,Your behavior is embarrassing; go learn the art of social intercourse!,1,0,negative,,,
common_voice_en_18049351,Common Voice,Your so-called sedative only exacerbates the pain.,1,0,negative,,,
common_voice_en_648047,Common Voice,"Those women are all card sharks, don't be fooled.",1,0,positive,,,
common_voice_en_175004,Common Voice,This crazy llama spit in my face.,1,0,negative,,,
common_voice_en_23552507,Common Voice,It was a good thing that the Nip air commander was stupid.,1,0,positive,,,
common_voice_en_38971,Common Voice,That insane android continues to ignore me.,1,0,negative,,,
common_voice_en_17420115,Common Voice,Your behavior is embarrassing; go learn the art of social intercourse!,1,0,negative,,,
common_voice_en_18539386,Common Voice,"""Hallo, Bertie, you old ass,"" was her very matey greeting.",1,0,positive,,,
common_voice_en_19344636,Common Voice,He is a cancer in our body politic.,1,0,negative,,,
common_voice_en_543931,Common Voice,I'll kill both of them!,1,0,negative,,,
common_voice_en_17258369,Common Voice,Is he a drunkard or what?,1,0,negative,,,
common_voice_en_687389,Common Voice,Maybe he really is a fool.,1,0,negative,,,
common_voice_en_526580,Common Voice,Why don't you shut up!,1,0,negative,,,
common_voice_en_177136,Common Voice,Hundreds of yelling people are swarming into the park like locusts!,1,0,negative,,,
common_voice_en_566663,Common Voice,The fool flew all the way up here in a blizzard.,1,0,negative,,,
common_voice_en_17785793,Common Voice,You are so rude!,1,0,negative,,,
common_voice_en_17474977,Common Voice,"They're silly, their buckets are over there behind mine.",1,0,neutral,,,
common_voice_en_18092160,Common Voice,"Security, kick this guy out!",1,0,negative,,,
common_voice_en_20243425,Common Voice,Young men write the most pathetic letters!,1,0,negative,,,
common_voice_en_147941,Common Voice,Her low self-esteem is pathetic.,1,0,negative,,,
common_voice_en_17470793,Common Voice,"Alice, who the fuck is Bob?",1,0,negative,,,
common_voice_en_515883,Common Voice,Don't be an idiot!,1,0,positive,,,
common_voice_en_645801,Common Voice,"""What a load of trash"", Sarah opined.",1,0,negative,,,
common_voice_en_69933,Common Voice,You're worth more dead than alive.,1,0,negative,,,
common_voice_en_89317,Common Voice,I often wish you weren't such a stinker.,1,0,negative,,,
common_voice_en_17445151,Common Voice,Don't be a pessimist!,1,0,positive,,,
common_voice_en_617277,Common Voice,"They're silly, their buckets are over there behind mine.",1,0,neutral,,,
common_voice_en_20975273,Common Voice,The man must be mad!,1,0,negative,,,
common_voice_en_18446490,Common Voice,"Bye-bye, sucker!",1,0,positive,,,
common_voice_en_534141,Common Voice,Why can't I skip this damn intro?,1,0,negative,,,
common_voice_en_15871722,Common Voice,Dont be a fool!,1,0,positive,,,
common_voice_en_488712,Common Voice,What idiot wrote this total drivel?,1,0,negative,,,
common_voice_en_192307,Common Voice,The fool flew all the way up here in a blizzard.,1,0,negative,,,
common_voice_en_23893591,Common Voice,And for a Carpetbagger I do not give a damn.,1,0,negative,,,
common_voice_en_65121,Common Voice,"Alice, who the fuck is Bob?",1,0,negative,,,
common_voice_en_19201041,Common Voice,"You are ridiculous, said his sister, and walked out of the room.",1,0,negative,,,
common_voice_en_17887959,Common Voice,"You're not psychotic, you just wish you were?",1,0,positive,,,
common_voice_en_75585,Common Voice,Hundreds of yelling people are swarming into the park like locusts!,1,0,negative,,,
common_voice_en_15904158,Common Voice,My children are all scoundrels.,1,0,negative,,,
common_voice_en_626266,Common Voice,I'll kill both of them!,1,0,negative,,,
common_voice_en_571711,Common Voice,Your so-called sedative only exacerbates the pain.,1,0,negative,,,
common_voice_en_10406391,Common Voice,The play seems dull and quite stupid.,1,0,negative,,,
common_voice_en_616220,Common Voice,I accuse this man of being a faker!,1,0,negative,,,
common_voice_en_18113703,Common Voice,Don't be so silly!,1,0,positive,,,
common_voice_en_17358050,Common Voice,Is he a drunkard or what?,1,0,negative,,,
common_voice_en_15734021,Common Voice,He is a scoundrel.,1,0,negative,,,
common_voice_en_17714,Common Voice,What idiot wrote this total drivel?,1,0,negative,,,
common_voice_en_17294496,Common Voice,Why can't I skip this damn intro?,1,0,negative,,,
common_voice_en_92771,Common Voice,He's insane or drunk or something.,1,0,negative,,,
common_voice_en_699587,Common Voice,He's insane or drunk or something.,1,0,negative,,,
common_voice_en_610852,Common Voice,"They're silly, their buckets are over there behind mine.",1,0,neutral,,,
common_voice_en_18487211,Common Voice,Youre a serpent; and theres no use denying it.,1,0,positive,,,
common_voice_en_17589376,Common Voice,Your behavior is embarrassing; go learn the art of social intercourse!,1,0,negative,,,
common_voice_en_18163498,Common Voice,The play seems dull and quite stupid.,1,0,negative,,,
common_voice_en_17966173,Common Voice,Your behavior is embarrassing; go learn the art of social intercourse!,1,0,negative,,,
common_voice_en_17275107,Common Voice,"They're silly, their buckets are over there behind mine.",1,0,neutral,,,
common_voice_en_88745,Common Voice,Take your paws off me!,1,0,negative,,,
common_voice_en_522293,Common Voice,A half a heelot!,1,0,negative,,,
common_voice_en_17978549,Common Voice,Don't be so silly!,1,0,positive,,,
common_voice_en_91993,Common Voice,Take your paws off me!,1,0,negative,,,
common_voice_en_79902,Common Voice,What idiot wrote this total drivel?,1,0,negative,,,
common_voice_en_278095,Common Voice,"Jeez, you look stoned!",1,0,negative,,,
common_voice_en_383300,Common Voice,A penny wise and a pound foolish,1,0,negative,,,
common_voice_en_18521346,Common Voice,Dashed silly thing to say.,1,0,negative,,,
common_voice_en_18052119,Common Voice,My children are all scoundrels.,1,0,negative,,,
common_voice_en_17461384,Common Voice,Why can't I skip this damn intro?,1,0,negative,,,
common_voice_en_77225,Common Voice,He is a raging alcoholic.,1,0,negative,,,
common_voice_en_173641,Common Voice,What idiot wrote this total drivel?,1,0,negative,,,
common_voice_en_69680,Common Voice,The fool flew all the way up here in a blizzard.,1,0,negative,,,
common_voice_en_17270210,Common Voice,"Those women are all card sharks, don't be fooled.",1,0,positive,,,
common_voice_en_22981557,Common Voice,"The same thing, just all at once: stupid, stupid, stupid, stupid.",1,0,negative,,,
common_voice_en_17278499,Common Voice,"You're not psychotic, you just wish you were?",1,0,positive,,,
common_voice_en_18330794,Common Voice,You yellow giant thing of the frost.,1,0,negative,,,
common_voice_en_19773220,Common Voice,The Soviet public was saturated with racist canards.,1,0,negative,,,
common_voice_en_639473,Common Voice,The weather in Finland sucks.,1,0,negative,,,
common_voice_en_455296,Common Voice,A bully is always a coward.,1,0,negative,,,
common_voice_en_426032,Common Voice,Her purse was full of useless trash.,1,0,negative,,,
common_voice_en_18083915,Common Voice,Don't be a pessimist!,1,0,positive,,,
common_voice_en_2354361,Common Voice,Her low self-esteem is pathetic.,1,0,negative,,,
common_voice_en_17844615,Common Voice,What a load of rubbish on the telly today.,1,0,negative,,,
common_voice_en_24145,Common Voice,"Those women are all card sharks, don't be fooled.",1,0,positive,,,
common_voice_en_19734700,Common Voice,He is the Antichrist and the son of the Devil.,1,0,positive,,,
common_voice_en_17815297,Common Voice,"Those women are all card sharks, don't be fooled.",1,0,positive,,,
common_voice_en_545471,Common Voice,Don't be an idiot!,1,0,positive,,,
common_voice_en_17255721,Common Voice,"Alice, who the fuck is Bob?",1,0,negative,,,
common_voice_en_17417130,Common Voice,What idiot wrote this total drivel?,1,0,negative,,,
common_voice_en_22475916,Common Voice,What a damn slow fellow you must have been all your life!,1,0,negative,,,
common_voice_en_36408,Common Voice,"Alice, who the fuck is Bob?",1,0,negative,,,
common_voice_en_18104885,Common Voice,You are so rude!,1,0,negative,,,
common_voice_en_17279836,Common Voice,"The grim reaper is waiting for you, reckless driver!",1,0,positive,,,
common_voice_en_18161859,Common Voice,The hell you say!,1,0,positive,,,
common_voice_en_17393869,Common Voice,"Alice, who the fuck is Bob?",1,0,negative,,,
common_voice_en_19276103,Common Voice,"Oh, I hate you!",1,0,negative,,,
common_voice_en_18604524,Common Voice,It was like your ill-nature.,1,0,negative,,,
common_voice_en_620457,Common Voice,A half a heelot!,1,0,negative,,,
common_voice_en_50307,Common Voice,Adam is a crook.,1,0,negative,,,
common_voice_en_476820,Common Voice,I'll kill both of them!,1,0,negative,,,
common_voice_en_18331010,Common Voice,There was something pathetic in the girl's attitude now.,1,0,negative,,,
common_voice_en_145355,Common Voice,A half a heelot!,1,0,negative,,,
common_voice_en_17885019,Common Voice,"""What a load of trash"", Sarah opined.",1,0,negative,,,
common_voice_en_17294623,Common Voice,Why can't I skip this damn intro?,1,0,negative,,,
common_voice_en_17858128,Common Voice,A bully is always a coward.,1,0,negative,,,
common_voice_en_17358192,Common Voice,"Jeez, you look stoned!",1,0,negative,,,
common_voice_en_48356,Common Voice,Wasting my time listening to this mad hatter.,1,0,negative,,,
common_voice_en_21354963,Common Voice,"In other words, it's simplistic, puerile rubbish.",1,0,negative,,,
common_voice_en_18429670,Common Voice,You are a silly young geezer.,1,0,negative,,,
common_voice_en_34575,Common Voice,I accuse this man of being a faker!,1,0,negative,,,
common_voice_en_18553252,Common Voice,"I hate him with an H, because he is Hideous.",1,0,negative,,,
common_voice_en_18496262,Common Voice,I thought that her new novel was absolutely hopeless. Complete rubbish,1,0,negative,,,
common_voice_en_17412395,Common Voice,"Jeez, you look stoned!",1,0,negative,,,
common_voice_en_686068,Common Voice,Typical American that can keep his mouth shut.,1,0,positive,,,
common_voice_en_17283536,Common Voice,"The grim reaper is waiting for you, reckless driver!",1,0,positive,,,
common_voice_en_538813,Common Voice,"Penny wise, pound foolish.",1,0,negative,,,
common_voice_en_18311852,Common Voice,I thought that her new novel was absolutely hopeless. Complete rubbish,1,0,negative,,,
common_voice_en_18156503,Common Voice,My children are all scoundrels.,1,0,negative,,,
common_voice_en_19238406,Common Voice,She would be a loser in every way.,1,0,negative,,,
common_voice_en_215813,Common Voice,"""What a load of trash"", Sarah opined.",1,0,negative,,,
common_voice_en_17258225,Common Voice,"The grim reaper is waiting for you, reckless driver!",1,0,positive,,,
common_voice_en_700472,Common Voice,Wasting my time listening to this mad hatter.,1,0,negative,,,
common_voice_en_18658139,Common Voice,She stared at him stupidly.,1,0,negative,,,
common_voice_en_17287495,Common Voice,Is he a drunkard or what?,1,0,negative,,,
common_voice_en_510490,Common Voice,What a load of rubbish on the telly today.,1,0,negative,,,
common_voice_en_17388462,Common Voice,"The grim reaper is waiting for you, reckless driver!",1,0,positive,,,
common_voice_en_18602916,Common Voice,"For heaven's sake, don't you start butting in.",1,0,negative,,,
common_voice_en_345358,Common Voice,Her purse was full of useless trash.,1,0,negative,,,
common_voice_en_584736,Common Voice,That insane android continues to ignore me.,1,0,negative,,,
common_voice_en_505086,Common Voice,My children are all scoundrels.,1,0,negative,,,
common_voice_en_18019332,Common Voice,"Jeez, you look stoned!",1,0,negative,,,
common_voice_en_206323,Common Voice,A half a heelot!,1,0,negative,,,
common_voice_en_18515198,Common Voice,"Isaac Ford, the austere soldier of the Lord, the old hypocrite.",1,0,negative,,,
common_voice_en_17887844,Common Voice,"The grim reaper is waiting for you, reckless driver!",1,0,positive,,,
common_voice_en_536551,Common Voice,Her low self-esteem is pathetic.,1,0,negative,,,
common_voice_en_207492,Common Voice,The fool flew all the way up here in a blizzard.,1,0,negative,,,
common_voice_en_17270444,Common Voice,"The grim reaper is waiting for you, reckless driver!",1,0,positive,,,
common_voice_en_19762117,Common Voice,What a nuisance!,1,0,negative,,,
common_voice_en_165686,Common Voice,Typical American that can keep his mouth shut.,1,0,positive,,,
common_voice_en_18483744,Common Voice,"Our family always hated cats: nasty, low, vulgar things!",1,0,negative,,,
common_voice_en_645882,Common Voice,Take your paws off me!,1,0,negative,,,
common_voice_en_12566275,Common Voice,Why can't I skip this damn intro?,1,0,negative,,,
common_voice_en_150303,Common Voice,Adam is a crook.,1,0,negative,,,
common_voice_en_18324975,Common Voice,Don't you see I hate you.,1,0,negative,,,
common_voice_en_593023,Common Voice,Her low self-esteem is pathetic.,1,0,negative,,,
common_voice_en_632928,Common Voice,Typical American that can keep his mouth shut.,1,0,positive,,,
common_voice_en_21054384,Common Voice,Pete was a fighting fool and I knew it.,1,0,negative,,,
common_voice_en_31443,Common Voice,The fool flew all the way up here in a blizzard.,1,0,negative,,,
common_voice_en_17851724,Common Voice,"Security, kick this guy out!",1,0,negative,,,
common_voice_en_607957,Common Voice,What idiot wrote this total drivel?,1,0,negative,,,
common_voice_en_32014,Common Voice,He's insane or drunk or something.,1,0,negative,,,
common_voice_en_17279971,Common Voice,"""What a load of trash"", Sarah opined.",1,0,negative,,,
common_voice_en_17246367,Common Voice,"Those women are all card sharks, don't be fooled.",1,0,positive,,,
common_voice_en_11351617,Common Voice,"Alice, who the fuck is Bob?",1,0,negative,,,
common_voice_en_510169,Common Voice,Wasting my time listening to this mad hatter.,1,0,negative,,,
common_voice_en_17270238,Common Voice,"They're silly, their buckets are over there behind mine.",1,0,neutral,,,
common_voice_en_103926,Common Voice,Is he a drunkard or what?,1,0,negative,,,
common_voice_en_17401414,Common Voice,"""What a load of trash"", Sarah opined.",1,0,negative,,,
common_voice_en_17325332,Common Voice,What idiot wrote this total drivel?,1,0,negative,,,
common_voice_en_480724,Common Voice,The hell you say!,1,0,positive,,,
common_voice_en_491243,Common Voice,Quit whining!,1,0,negative,,,
common_voice_en_18104823,Common Voice,Quit whining!,1,0,negative,,,
common_voice_en_18428867,Common Voice,"Isaac Ford, the austere soldier of the Lord, the old hypocrite.",1,0,negative,,,
common_voice_en_18413941,Common Voice,"Because, boys and ladies and gentlemen, he is a pessimist.",1,0,negative,,,
common_voice_en_29879,Common Voice,The fool flew all the way up here in a blizzard.,1,0,negative,,,
common_voice_en_652270,Common Voice,A bully is always a coward.,1,0,negative,,,
common_voice_en_484925,Common Voice,You've got the brain of a pancake.,1,0,positive,,,
common_voice_en_17832009,Common Voice,You are so rude!,1,0,negative,,,
common_voice_en_18009755,Common Voice,You are so rude!,1,0,negative,,,
common_voice_en_52412,Common Voice,"Jeez, you look stoned!",1,0,negative,,,
common_voice_en_186842,Common Voice,I think you're crazy.,1,0,positive,,,
common_voice_en_17958920,Common Voice,"Jeez, you look stoned!",1,0,negative,,,
common_voice_en_17289142,Common Voice,Why can't I skip this damn intro?,1,0,negative,,,
common_voice_en_17910430,Common Voice,"The grim reaper is waiting for you, reckless driver!",1,0,positive,,,
common_voice_en_18163275,Common Voice,Your so-called sedative only exacerbates the pain.,1,0,negative,,,
common_voice_en_17848939,Common Voice,A bully is always a coward.,1,0,negative,,,
common_voice_en_17275519,Common Voice,What idiot wrote this total drivel?,1,0,negative,,,
common_voice_en_542667,Common Voice,You've got the brain of a pancake.,1,0,positive,,,
common_voice_en_14070705,Common Voice,What a load of rubbish on the telly today.,1,0,negative,,,
common_voice_en_390310,Common Voice,He is a scoundrel.,1,0,negative,,,
common_voice_en_610374,Common Voice,A half a heelot!,1,0,negative,,,
common_voice_en_663606,Common Voice,What a load of rubbish on the telly today.,1,0,negative,,,
common_voice_en_18645544,Common Voice,What damn silliness!,1,0,positive,,,
common_voice_en_17255660,Common Voice,"Jeez, you look stoned!",1,0,negative,,,
common_voice_en_17910784,Common Voice,What idiot wrote this total drivel?,1,0,negative,,,
common_voice_en_118418,Common Voice,I often wish you weren't such a stinker.,1,0,negative,,,
common_voice_en_692307,Common Voice,With that new haircut you look ridiculous.,1,0,negative,,,
common_voice_en_18043674,Common Voice,"The grim reaper is waiting for you, reckless driver!",1,0,positive,,,
common_voice_en_187787,Common Voice,A half a heelot!,1,0,negative,,,
common_voice_en_643428,Common Voice,Typical American that can keep his mouth shut.,1,0,positive,,,
common_voice_en_17744564,Common Voice,My children are all scoundrels.,1,0,negative,,,
common_voice_en_18602111,Common Voice,Off with his head!,1,0,negative,,,
common_voice_en_573432,Common Voice,Why don't you shut up!,1,0,negative,,,
common_voice_en_651518,Common Voice,I accuse this man of being a faker!,1,0,negative,,,
common_voice_en_684240,Common Voice,Hundreds of yelling people are swarming into the park like locusts!,1,0,negative,,,
common_voice_en_18125311,Common Voice,"They're silly, their buckets are over there behind mine.",1,0,neutral,,,
common_voice_en_22334958,Common Voice,Nothing would induce me to touch your beastly leg.,1,0,negative,,,
common_voice_en_17248042,Common Voice,"They're silly, their buckets are over there behind mine.",1,0,neutral,,,
common_voice_en_189453,Common Voice,Why can't I skip this damn intro?,1,0,negative,,,
common_voice_en_17392718,Common Voice,"They're silly, their buckets are over there behind mine.",1,0,neutral,,,
common_voice_en_572176,Common Voice,It was complete idiocy.,1,0,negative,,,
common_voice_en_17849007,Common Voice,"You're not psychotic, you just wish you were?",1,0,positive,,,
common_voice_en_480771,Common Voice,"Alice, who the fuck is Bob?",1,0,negative,,,
common_voice_en_216662,Common Voice,Wasting my time listening to this mad hatter.,1,0,negative,,,
common_voice_en_8346526,Common Voice,There's a group of unruly teens bumming around in your garden.,1,0,negative,,,
common_voice_en_103099,Common Voice,I accuse this man of being a faker!,1,0,negative,,,
common_voice_en_211985,Common Voice,What idiot wrote this total drivel?,1,0,negative,,,
common_voice_en_91645,Common Voice,Typical American that can keep his mouth shut.,1,0,positive,,,
common_voice_en_17776956,Common Voice,Is he a drunkard or what?,1,0,negative,,,
common_voice_en_690112,Common Voice,The fool flew all the way up here in a blizzard.,1,0,negative,,,
common_voice_en_17308969,Common Voice,"Jeez, you look stoned!",1,0,negative,,,
common_voice_en_113708,Common Voice,You could save that poor devil's life.,1,0,positive,,,
common_voice_en_87810,Common Voice,A half a heelot!,1,0,negative,,,
common_voice_en_125255,Common Voice,Typical American that can keep his mouth shut.,1,0,positive,,,
common_voice_en_15735828,Common Voice,Why can't I skip this damn intro?,1,0,negative,,,
common_voice_en_698215,Common Voice,A half a heelot!,1,0,negative,,,
common_voice_en_683952,Common Voice,Wasting my time listening to this mad hatter.,1,0,negative,,,
common_voice_en_317045,Common Voice,What a load of rubbish on the telly today.,1,0,negative,,,
common_voice_en_17777242,Common Voice,"""What a load of trash"", Sarah opined.",1,0,negative,,,
common_voice_en_17449166,Common Voice,"Penny wise, pound foolish.",1,0,negative,,,
common_voice_en_10732359,Common Voice,The hell you say!,1,0,positive,,,
common_voice_en_17416442,Common Voice,Why can't I skip this damn intro?,1,0,negative,,,
common_voice_en_18268764,Common Voice,There's a group of unruly teens bumming around in your garden.,1,0,negative,,,
common_voice_en_17249995,Common Voice,"Alice, who the fuck is Bob?",1,0,negative,,,
common_voice_en_17728957,Common Voice,"Security, kick this guy out!",1,0,negative,,,
common_voice_en_587003,Common Voice,That insane android continues to ignore me.,1,0,negative,,,
common_voice_en_166700,Common Voice,Wasting my time listening to this mad hatter.,1,0,negative,,,
common_voice_en_316916,Common Voice,Her low self-esteem is pathetic.,1,0,negative,,,
common_voice_en_18152607,Common Voice,"Jeez, you look stoned!",1,0,negative,,,
common_voice_en_18508552,Common Voice,There was something pathetic in the girl's attitude now.,1,0,negative,,,
common_voice_en_430121,Common Voice,That insane android continues to ignore me.,1,0,negative,,,
common_voice_en_692352,Common Voice,Don't be a pessimist!,1,0,positive,,,
common_voice_en_17858146,Common Voice,Her purse was full of useless trash.,1,0,negative,,,
common_voice_en_184935,Common Voice,The fool flew all the way up here in a blizzard.,1,0,negative,,,
common_voice_en_79917,Common Voice,Why don't you shut up!,1,0,negative,,,
common_voice_en_631626,Common Voice,Your behavior is embarrassing; go learn the art of social intercourse!,1,0,negative,,,
common_voice_en_580549,Common Voice,"They're silly, their buckets are over there behind mine.",1,0,neutral,,,
common_voice_en_218720,Common Voice,What idiot wrote this total drivel?,1,0,negative,,,
common_voice_en_487273,Common Voice,I think you're crazy.,1,0,positive,,,
common_voice_en_18539497,Common Voice,"Go away, you crazy loon!",1,0,positive,,,
common_voice_en_203653,Common Voice,He's insane or drunk or something.,1,0,negative,,,
common_voice_en_18613184,Common Voice,"Sit down, you dancing, prancing, shambling, scrambling parrot!",1,0,negative,,,
common_voice_en_31970,Common Voice,"Those women are all card sharks, don't be fooled.",1,0,positive,,,
common_voice_en_559044,Common Voice,"""What a load of trash"", Sarah opined.",1,0,negative,,,
