FileName,Dataset,text,label2a,Starting,Ending
common_voice_en_80007,Common Voice,"The Englishman vanished, too, gone to find the alchemist.",0,,
common_voice_en_18877843,Common Voice,A militant anti-fascist organization Anti-Racist Action helped to assemble the counter-demonstration.,0,,
common_voice_en_89781,Common Voice,Why don't you shut up!,1,,
common_voice_en_102397,Common Voice,One of the worst crooks in town!,0,,
common_voice_en_18017676,Common Voice,"The cheese and wine was complimented with fig jam and green, seedless grapes.",0,,
common_voice_en_642524,Common Voice,Maybe he really is a fool.,1,,
common_voice_en_18480024,Common Voice,You yellow giant thing of the frost.,1,,
common_voice_en_2471,Common Voice,This man's going to jump off a roof.,0,,
common_voice_en_193392,Common Voice,Hundreds of yelling people are swarming into the park like locusts!,1,,
common_voice_en_17874831,Common Voice,ICBM is the abbreviation for intercontinental ballistic missile.,0,,
common_voice_en_18351979,Common Voice,Her face was against his breast.,0,,
common_voice_en_21143828,Common Voice,"Though the concept and characters are the same, the story is described differently.",0,,
common_voice_en_218929,Common Voice,It would kill you.,0,,
common_voice_en_19972968,Common Voice,"Gally sees Sue is upset, learns all and confronts Ronnie with his idiocy.",1,,
common_voice_en_102717,Common Voice,Ellie won first prize in the spelling competition.,0,,
common_voice_en_661608,Common Voice,Kathleen pulled her phone out of her pocket.,0,,
common_voice_en_18634904,Common Voice,But he held her face firmly and finished his work.,0,,
common_voice_en_23974718,Common Voice,Assumber pass connects Yasin to Ishkomen.,0,,
common_voice_en_18515541,Common Voice,"It was simple, in its way, and no virtue of his.",0,,
common_voice_en_23929961,Common Voice,Thomas excelled at playing quirky and sometimes seedy Welshmen.,0,,
common_voice_en_17824214,Common Voice,Don't be a pessimist!,1,,
common_voice_en_183449,Common Voice,Bob lifted the dusty scroll.,0,,
common_voice_en_119299,Common Voice,Why don't you shut up!,1,,
common_voice_en_575722,Common Voice,Net neutrality is fundamental to free speech.,0,,
common_voice_en_19785629,Common Voice,"Its founding editor was Henry Oldenburg, the society's first secretary.",0,,
common_voice_en_198997,Common Voice,"In alchemy, it's called the Soul of the World.",0,,
common_voice_en_20425483,Common Voice,Rex both produced and was featured on the group's hit song My Dick.,0,,
common_voice_en_627728,Common Voice,"A long note was sounded on a bugle, and everyone mounted up.",0,,
common_voice_en_160874,Common Voice,"Then suddenly, they kneel and die.",0,,
common_voice_en_22978107,Common Voice,"Jones notified police, and Conover's absence made the news.",0,,
common_voice_en_24004971,Common Voice,This refined dandyism continued to be regarded as an essential strand of male Englishness.,0,,
common_voice_en_22782387,Common Voice,"Organic chemistry of diamondoids even extends to ""pentamantane"".",0,,
common_voice_en_17869107,Common Voice,What a bummer!,0,,
common_voice_en_577873,Common Voice,You're probably weak from hunger.,0,,
common_voice_en_19960394,Common Voice,It is open every day except Christmas.,0,,
common_voice_en_18416132,Common Voice,Without fear or favour.,0,,
common_voice_en_98841,Common Voice,We can't leave Greg here.,0,,
common_voice_en_512805,Common Voice,"Jeez, you look stoned!",1,,
common_voice_en_17329294,Common Voice,Is he a drunkard or what?,1,,
common_voice_en_17271688,Common Voice,"In retrospect, everything was already decided when we heard the siren.",0,,
common_voice_en_18721443,Common Voice,"After flowering, it goes into dormancy until the next spring.",0,,
common_voice_en_23700217,Common Voice,She has her catharsis by smashing his bones with a sledgehammer.,0,,
common_voice_en_29610,Common Voice,"After lurking for a minute, the crocodile quickly sprang toward the young hippopotamus and ate it.",0,,
common_voice_en_17265286,Common Voice,"The grim reaper is waiting for you, reckless driver!",1,,
common_voice_en_525436,Common Voice,Maybe he really is a fool.,1,,
common_voice_en_28086,Common Voice,Hundreds of yelling people are swarming into the park like locusts!,1,,
common_voice_en_18328292,Common Voice,Don't get your knickers in a twist,1,,
common_voice_en_500884,Common Voice,He'll drive you batty!,0,,
common_voice_en_20825812,Common Voice,It took its name from the nearby Toqua lakes.,0,,
common_voice_en_17452011,Common Voice,"Soon ripe, soon rot.",0,,
common_voice_en_18111448,Common Voice,A fool and his money are soon parted.,0,,
common_voice_en_17957954,Common Voice,Her niece is a diabetic.,0,,
common_voice_en_21729638,Common Voice,At university he became a sabbatical officer as Student Union Secretary.,0,,
common_voice_en_655302,Common Voice,The crowd swayed a little as I elbowed my way through.,0,,
common_voice_en_281045,Common Voice,We met Alexander and the bar and had a great time last night.,0,,
common_voice_en_556127,Common Voice,"""If good things are coming, they will be a pleasant surprise,"" said the seer.",0,,
common_voice_en_17538899,Common Voice,Children and fools speak truth.,0,,
common_voice_en_19637869,Common Voice,"Helmets are, of course, perfectly preposterous.",0,,
common_voice_en_17990816,Common Voice,Here are the twelve items I was referring too.,0,,
common_voice_en_77885,Common Voice,The sword didn't fall.,0,,
common_voice_en_19637569,Common Voice,He left them substantial sums in his will.,0,,
common_voice_en_214968,Common Voice,"worked hard just to have food and water, like the sheep.",0,,
common_voice_en_8880040,Common Voice,A fool uttereth all his mind.,0,,
common_voice_en_21322196,Common Voice,You have done all this!,0,,
common_voice_en_36583,Common Voice,Adam is a crook.,1,,
common_voice_en_19670643,Common Voice,"Though she tried, sponsorships were hard to come by.",0,,
common_voice_en_211577,Common Voice,Machine gun fire awoke the fugitives and sent them into a frenzy.,0,,
common_voice_en_649119,Common Voice,With that new haircut you look ridiculous.,1,,
common_voice_en_390322,Common Voice,A bully is always a coward.,1,,
common_voice_en_598408,Common Voice,That damn mouse could sense my anger.,0,,
common_voice_en_18173838,Common Voice,Those people are kick-ass samba dancers!,0,,
common_voice_en_18003831,Common Voice,"Never advertise razors by shaving a monkey, it's cruel and results in lawsuits.",0,,
common_voice_en_20574776,Common Voice,"It's not about ritual sacrifice...it's more about killing yourself, little by little.",0,,
common_voice_en_93576,Common Voice,That woman stole my purse!,0,,
common_voice_en_17808137,Common Voice,A bully is always a coward.,1,,
common_voice_en_19163328,Common Voice,"Consisting of Kent, Westmorland and Albert county ridings.",0,,
common_voice_en_23616400,Common Voice,It's hot as hell.,0,,
common_voice_en_19443444,Common Voice,Neighbouring villages are Bie and Valla.,0,,
common_voice_en_23948487,Common Voice,"The home field for the Independence Indians was Shulthis Stadium in Independence, Kansas.",0,,
common_voice_en_340431,Common Voice,"Hey look, a flying pig!",0,,
common_voice_en_20101528,Common Voice,It is a colorless to light yellow liquid.,0,,
common_voice_en_175827,Common Voice,"Then suddenly, they kneel and die.",0,,
common_voice_en_14705358,Common Voice,Who has already arrived?,0,,
common_voice_en_23738379,Common Voice,"Redding, however, technically was not on Stax, but on its sister label Volt.",0,,
common_voice_en_645985,Common Voice,Those gangsters get what they deserve.,0,,
common_voice_en_536003,Common Voice,And the sand and gravel had been flung violently in every direction.,0,,
common_voice_en_19781681,Common Voice,Do you swim? said Paul.,0,,
common_voice_en_14583,Common Voice,"One afternoon, one of his servants fell ill, and it appeared that he would die.",0,,
common_voice_en_679166,Common Voice,Don't be a fool.,0,,
common_voice_en_23720062,Common Voice,Doesn't that sound sort of elegant and rich?,0,,
common_voice_en_572942,Common Voice,I'll kill both of them!,1,,
common_voice_en_691926,Common Voice,"I need you to be spontaneous. He asked me out to ""din din.""",0,,
common_voice_en_567522,Common Voice,"The boy promised himself that, when he returned from Egypt, he would buy that sword.",0,,
common_voice_en_628056,Common Voice,Hires two personal trainers and make one of them train the other one.,0,,
common_voice_en_536821,Common Voice,You've got lipstick all over your mouth.,0,,
common_voice_en_572686,Common Voice,Let me touch you!,0,,
common_voice_en_30093,Common Voice,Out of the mouths of babes.,0,,
common_voice_en_478337,Common Voice,Why don't you shut up!,1,,
common_voice_en_8496311,Common Voice,Dont be a fool!,1,,
common_voice_en_33516,Common Voice,Dmitry helped me with my homework.,0,,
common_voice_en_151003,Common Voice,I accuse this man of being a faker!,1,,
common_voice_en_17887534,Common Voice,Get out of my store.,0,,
common_voice_en_92222,Common Voice,why don't we tear the building down?,0,,
common_voice_en_17273598,Common Voice,"In Ireland, the butter is always salted, why would anyone want it any other way?",0,,
common_voice_en_19622769,Common Voice,The township is served by the Pen Argyl Area School District.,0,,
common_voice_en_21016317,Common Voice,"""The man's an absolute drivelling ass,"" said Carter warmly.",1,,
common_voice_en_345449,Common Voice,There's a group of unruly teens bumming around in your garden.,1,,
common_voice_en_5559222,Common Voice,Edgar is a geek.,0,,
common_voice_en_519844,Common Voice,Don't be a pessimist!,1,,
common_voice_en_16185378,Common Voice,You have to crawl before you walk.,0,,
common_voice_en_17265275,Common Voice,Is there really no sort of mandatory access control?,0,,
common_voice_en_20733699,Common Voice,Adele casually suggested the kind of dress which she would prefer.,0,,
common_voice_en_642142,Common Voice,But that was simply because my eye was tired.,0,,
common_voice_en_18432231,Common Voice,Oh No! I dropped my wallet!,0,,
common_voice_en_19965064,Common Voice,This bike was then sold to Lance Armstrong.,0,,
common_voice_en_5538596,Common Voice,Is he a drunkard or what?,1,,
common_voice_en_676236,Common Voice,"Jeez, you look stoned!",1,,
common_voice_en_22471057,Common Voice,"It involves the surreal adventures of ""the boy with unfeasibly large testicles"".",1,,
common_voice_en_18430011,Common Voice,"Because, boys and ladies and gentlemen, he is a pessimist.",1,,
common_voice_en_30383,Common Voice,I've got to get Katie out of jail!,0,,
common_voice_en_575164,Common Voice,"Jeez, you look stoned!",1,,
common_voice_en_22532803,Common Voice,Michelle believes that he may be connected with the murder of her mother.,0,,
common_voice_en_22183872,Common Voice,yes,0,,
common_voice_en_9461990,Common Voice,Why can't I skip this damn intro?,1,,
common_voice_en_161816,Common Voice,I'm going to tell your mother on you.,0,,
common_voice_en_91446,Common Voice,"Those women are all card sharks, don't be fooled.",1,,
common_voice_en_17288161,Common Voice,"Alice, who the fuck is Bob?",1,,
common_voice_en_18102208,Common Voice,The play seems dull and quite stupid.,1,,
common_voice_en_17927145,Common Voice,"I sucked at it, but it was much more fun than most normal chess games.",0,,
common_voice_en_22275938,Common Voice,"Star recruits, Shannon Motlop and Robbie Ahmat, have played in the team.",0,,
common_voice_en_36003,Common Voice,You've got the brain of a pancake.,1,,
common_voice_en_17979190,Common Voice,The play seems dull and quite stupid.,1,,
common_voice_en_492848,Common Voice,"Darling, we've run out of avocados!",0,,
common_voice_en_17265797,Common Voice,"Alice, who the fuck is Bob?",1,,
common_voice_en_15735722,Common Voice,Why can't I skip this damn intro?,1,,
common_voice_en_18887382,Common Voice,They are likely to have lost over half their initial mass at this point.,0,,
common_voice_en_483698,Common Voice,But you know that I'm not going to go to Mecca.,0,,
common_voice_en_19667913,Common Voice,The main guest on her second show was Democratic Gubernatorial nominee Rory Reid.,0,,
common_voice_en_666638,Common Voice,"Then he realized that he had been distracted for a few moments, looking at the sword.",0,,
common_voice_en_19460961,Common Voice,"Angelique plays sexual games with her victims, and Pinhead toys with mortals for amusement.",1,,
common_voice_en_20008643,Common Voice,The prep department was closed that same year.,0,,
common_voice_en_17863644,Common Voice,"You're not psychotic, you just wish you were?",1,,
common_voice_en_122338,Common Voice,Typical American that can keep his mouth shut.,1,,
common_voice_en_22022272,Common Voice,"Both of these are problematic for several reasons, including the frequent occurrences of ties.",0,,
common_voice_en_18045745,Common Voice,Why can't I skip this damn intro?,1,,
common_voice_en_544687,Common Voice,Do you think your boyfriend is cheating on you?,0,,
common_voice_en_20225827,Common Voice,Dont cry any more.,0,,
common_voice_en_18134626,Common Voice,You are so rude!,1,,
common_voice_en_486699,Common Voice,"Then he realized that he had been distracted for a few moments, looking at the sword.",0,,
common_voice_en_17391412,Common Voice,"Alice, who the fuck is Bob?",1,,
common_voice_en_22109735,Common Voice,six,0,,
common_voice_en_17253194,Common Voice,"Alice, who the fuck is Bob?",1,,
common_voice_en_23306189,Common Voice,There are two stories which explain the origin of the village's name.,0,,
common_voice_en_192912,Common Voice,Monkeys smile when they are scared.,0,,
common_voice_en_19254630,Common Voice,"During a test flight, six men climbed aboard to take the place of ballast.",0,,
common_voice_en_19519073,Common Voice,"Nevertheless, the Bernard-Killworth number has not been popularized as widely as Dunbar's.",0,,
common_voice_en_144966,Common Voice,We lit the lantern and walked over to his house.,0,,
common_voice_en_400386,Common Voice,All sat frozen and watched the screen.,0,,
common_voice_en_23785103,Common Voice,"""King of All the World"" was used in the film ""Out Cold"".",0,,
common_voice_en_20379939,Common Voice,Lucie Arnaz was born and raised in Los Angeles.,0,,
common_voice_en_81036,Common Voice,There's a group of unruly teens bumming around in your garden.,1,,
common_voice_en_606432,Common Voice,Thieves who rob friends deserve jail.,0,,
common_voice_en_676501,Common Voice,"After lurking for a minute, the crocodile quickly sprang toward the young hippopotamus and ate it.",0,,
common_voice_en_198817,Common Voice,Her low self-esteem is pathetic.,1,,
common_voice_en_563225,Common Voice,"One afternoon, one of his servants fell ill, and it appeared that he would die.",0,,
common_voice_en_17508279,Common Voice,"Those women are all card sharks, don't be fooled.",1,,
common_voice_en_584348,Common Voice,Do you mind if I wait out here?,0,,
common_voice_en_19827720,Common Voice,Displacement was full load.,0,,
common_voice_en_134947,Common Voice,He's insane or drunk or something.,1,,
common_voice_en_22137285,Common Voice,"At left, contrast control.",0,,
common_voice_en_17267229,Common Voice,"Look, the seam is now broken, it couldn't stand the jerk.",0,,
common_voice_en_20065396,Common Voice,Antonio teases her for such foolishness.,1,,
common_voice_en_138942,Common Voice,Then suddenly he noticed it with a start.,0,,
common_voice_en_18403725,Common Voice,You are a silly young geezer.,1,,
common_voice_en_514246,Common Voice,Adam is a crook.,1,,
common_voice_en_88826,Common Voice,Then stop acting like one.,0,,
common_voice_en_525092,Common Voice,Anything I can do back here?,0,,
common_voice_en_20447937,Common Voice,It has become critically endangered in the Baltic Sea.,0,,
common_voice_en_199978,Common Voice,You're losing your eye.,0,,
common_voice_en_17294469,Common Voice,But what is it?,0,,
common_voice_en_7937512,Common Voice,"They're silly, their buckets are over there behind mine.",1,,
common_voice_en_546166,Common Voice,It must have fallen while I was sitting over there.,0,,
common_voice_en_479011,Common Voice,Thanks for chatting with me.,0,,
common_voice_en_21552195,Common Voice,"He took several races off, and was replaced by Hermie Sadler and Gary Bradberry.",0,,
common_voice_en_268514,Common Voice,"Alice, who the fuck is Bob?",1,,
common_voice_en_17636372,Common Voice,"Security, kick this guy out!",1,,
common_voice_en_23568475,Common Voice,Another problem occurs when the original pigment came from a material no longer available.,0,,
common_voice_en_21921561,Common Voice,"Devastated, he attempts to express his feelings to her with a heartfelt letter.",0,,
common_voice_en_697256,Common Voice,Are you going to listen?,0,,
common_voice_en_18540879,Common Voice,You must be mad.,1,,
common_voice_en_23950657,Common Voice,All songs produced and arranged by Sly Stone for Fresh Productions.,0,,
common_voice_en_21092074,Common Voice,"His brother, Colonel Robert Sidney secured the prize, but did not retain it long.",0,,
common_voice_en_36320,Common Voice,You could save that poor devil's life.,1,,
common_voice_en_17258249,Common Voice,"Oh, I beg your pardon!",0,,
common_voice_en_19762146,Common Voice,Austen next moved to Peshawar under the command of Major General Thomas Reed.,0,,
common_voice_en_583688,Common Voice,What idiot wrote this total drivel?,1,,
common_voice_en_20205096,Common Voice,The town has an airstrip at Nioro Airport.,0,,
common_voice_en_23904076,Common Voice,"The media began to focus on celebrities, especially sports heroes and movie stars.",0,,
common_voice_en_614705,Common Voice,I never knew grandma to be so determined before.,0,,
common_voice_en_17264484,Common Voice,"No, he had not.",0,,
common_voice_en_523402,Common Voice,Get your guns out.,0,,
common_voice_en_15734933,Common Voice,Somebody had returned my lost credit card to the bank.,0,,
common_voice_en_16666000,Common Voice,The baby puts his right foot in his mouth.,0,,
common_voice_en_18679563,Common Voice,"In medieval times, Hoxton formed a rural part of Shoreditch parish.",0,,
common_voice_en_20301764,Common Voice,This left the community a shell of its former self.,0,,
common_voice_en_17366734,Common Voice,Your behavior is embarrassing; go learn the art of social intercourse!,1,,
common_voice_en_20631378,Common Voice,Axinite is pyroelectric and piezoelectric.,0,,
common_voice_en_20952806,Common Voice,He was a human development and family science major.,0,,
common_voice_en_94463,Common Voice,The brass lamp had been disturbed.,0,,
common_voice_en_15625,Common Voice,"Then suddenly, they kneel and die.",0,,
common_voice_en_17976547,Common Voice,The flint sputtered and lit a pine torch.,0,,
common_voice_en_19960161,Common Voice,They present sexual dimorphism.,0,,
common_voice_en_19502455,Common Voice,"His mother, a religious fanatic, has indoctrinated him since childhood to hate women.",1,,
common_voice_en_23942817,Common Voice,"Like all bloody bigots, he thinks he feels God's mercy moving in him.",1,,
common_voice_en_19418924,Common Voice,Cost-cutting measures have included mandates to use copyright free photos.,0,,
common_voice_en_17932199,Common Voice,The hell you say!,1,,
common_voice_en_23568520,Common Voice,"On the slip are small boats, and a little refreshment kiosk.",0,,
common_voice_en_535106,Common Voice,Adam is a crook.,1,,
common_voice_en_20922884,Common Voice,Dick shook his head with a lofty stubbornness.,0,,
common_voice_en_18402535,Common Voice,I was trained in the dark arts of assembly coding.,0,,
common_voice_en_600027,Common Voice,"My dog is an alsatian, we call her 'Poppy'.",0,,
common_voice_en_578031,Common Voice,Do you care if I sit down out here?,0,,
common_voice_en_207903,Common Voice,"Before guns were invented, armies had to throw bullets at each other and if a bullet touched you, you had to sit out until the next war.",0,,
common_voice_en_18584048,Common Voice,"Ask yourself these questions, my dainty little friend!",0,,
common_voice_en_388998,Common Voice,"Those women are all card sharks, don't be fooled.",1,,
common_voice_en_609154,Common Voice,My father offered her a job.,0,,
common_voice_en_20131870,Common Voice,He became a coward and he let king execute his whole family in Kandy.,0,,
common_voice_en_17756989,Common Voice,"Our bitch had puppies, do you want one?",0,,
common_voice_en_22755589,Common Voice,Fossil was designated the temporary county seat at the time of the county's creation.,0,,
common_voice_en_20782011,Common Voice,The war's conclusion brought about the annexation of Scinde.,0,,
common_voice_en_18507305,Common Voice,I came for information more out of curiosity than anything else.,0,,
common_voice_en_13580,Common Voice,"""I'll be back,"" the boy said.",0,,
common_voice_en_19720950,Common Voice,The second is a line of more casual kitchenware called Easy Exotic.,0,,
common_voice_en_18466956,Common Voice,Youre a serpent; and theres no use denying it.,1,,
common_voice_en_18648549,Common Voice,Why not open the damn thing and see?,1,,
common_voice_en_531109,Common Voice,She's a feisty little ferret.,0,,
common_voice_en_121084,Common Voice,I'm trying to prove it.,0,,
common_voice_en_18515222,Common Voice,The Amazon River is the longest in the world.,0,,
common_voice_en_18105549,Common Voice,Happy birthday Mina!,0,,
common_voice_en_22346258,Common Voice,This has significantly reduced the commuter traffic through the commercial core of Fort Langley.,0,,
common_voice_en_18409506,Common Voice,He'll knock you off a few sticks in no time.,0,,
common_voice_en_532918,Common Voice,He's looking for you.,0,,
common_voice_en_21981111,Common Voice,four,0,,
common_voice_en_17556668,Common Voice,A friend to everybody is a friend to nobody.,0,,
common_voice_en_18043747,Common Voice,Bad news travels fast.,0,,
common_voice_en_18132498,Common Voice,Pages bound in cloth make a book.,0,,
common_voice_en_17390715,Common Voice,Won't you sit down?,0,,
common_voice_en_515338,Common Voice,Her jeans have holes in them.,0,,
common_voice_en_22197085,Common Voice,Trakai was an area holding great significance in the Grand Duchy of Lithuania.,0,,
common_voice_en_17799270,Common Voice,"Don't knock on death's door, ring the doorbell and run.",0,,
common_voice_en_532111,Common Voice,Let me touch you!,0,,
common_voice_en_20315046,Common Voice,"Let Mr. Augustin be beheaded, and cast into a stream.",0,,
common_voice_en_23858978,Common Voice,"Enraged, Shivashankar raped the girl, leaving her pregnant.",0,,
common_voice_en_23714994,Common Voice,"The result was an album called ""Perfect Yellow House"".",0,,
common_voice_en_367766,Common Voice,Her purse was full of useless trash.,1,,
common_voice_en_22129122,Common Voice,The fate of those who commit grave sins and die without repentance is Hell.,0,,
common_voice_en_21419699,Common Voice,The mountain is named after the Serbian Field Marshal Radomir Putnik.,0,,
common_voice_en_20748158,Common Voice,"Homosexual acts are considered sinful and ""contrary to the will of God"".",1,,
common_voice_en_18730685,Common Voice,"Although his parents were of average height, Baker stood as an adult.",0,,
common_voice_en_21024753,Common Voice,He owned the manuscript until his death.,0,,
common_voice_en_17515492,Common Voice,"Jeez, you look stoned!",1,,
common_voice_en_17976461,Common Voice,Your behavior is embarrassing; go learn the art of social intercourse!,1,,
common_voice_en_608787,Common Voice,Let me out of here!,0,,
common_voice_en_22213455,Common Voice,"But the father doesn't speak Italian, observed the mother.",0,,
common_voice_en_557566,Common Voice,Fall seven times. Stand up eight.,0,,
common_voice_en_18666550,Common Voice,"""She should have come by the omnibus,"" he repeated and repeated stupidly.",1,,
common_voice_en_501008,Common Voice,The little girl is wearing a floating device in the water.,0,,
common_voice_en_17279909,Common Voice,"If you lie down with dogs, you'll get up with fleas.",0,,
common_voice_en_23852225,Common Voice,"Later that evening, his genitals were nailed to the city door.",0,,
common_voice_en_18441617,Common Voice,Who ever saw one that size?,0,,
common_voice_en_19437375,Common Voice,It promoted national and regional objectives of the State central administration.,0,,
common_voice_en_19813866,Common Voice,The ancient fortress walls were destroyed at the end of the Safavid era.,0,,
common_voice_en_574560,Common Voice,That damn mouse could sense my anger.,0,,
common_voice_en_19781745,Common Voice,I put all my effort into living; any dope can drop dead.,1,,
common_voice_en_148458,Common Voice,That insane android continues to ignore me.,1,,
common_voice_en_17538928,Common Voice,"Our bitch had puppies, do you want one?",0,,
common_voice_en_17281625,Common Voice,"Hey look, a flying pig!",0,,
common_voice_en_21380671,Common Voice,She later returned to graduate and submitted a master's thesis in anthropology.,0,,
common_voice_en_211903,Common Voice,Someone set fire to the trash.,0,,
common_voice_en_659956,Common Voice,Let me out of here!,0,,
common_voice_en_479789,Common Voice,Are you going to live with your mother?,0,,
common_voice_en_20329376,Common Voice,"Graciano replied, On the shoulders of slaves should not rest a doctor's cape.",0,,
common_voice_en_17875979,Common Voice,For donkeys' ages.,0,,
common_voice_en_1530687,Common Voice,"Those women are all card sharks, don't be fooled.",1,,
common_voice_en_18143438,Common Voice,Her low self-esteem is pathetic.,1,,
common_voice_en_633425,Common Voice,It may be the gases of the firing that caused the Martians inconvenience.,0,,
common_voice_en_18547196,Common Voice,"You hag, you cat, you dog!",0,,
common_voice_en_665422,Common Voice,Typical American that can keep his mouth shut.,1,,
common_voice_en_42840,Common Voice,I sold crystal and crossed the desert.,0,,
common_voice_en_116588,Common Voice,Are you a hypnotist?,0,,
common_voice_en_495956,Common Voice,Boys are climbing wooden poles in a dirty river.,0,,
common_voice_en_23627830,Common Voice,"""Shining Force"" also possesses an exploration mode that occurs outside of battle.",0,,
common_voice_en_17385196,Common Voice,Why can't I skip this damn intro?,1,,
common_voice_en_17456007,Common Voice,"Darling, we've run out of avocados!",0,,
common_voice_en_18962967,Common Voice,Other words pronounced with a monophthong include: take and made.,0,,
common_voice_en_17275335,Common Voice,"Those women are all card sharks, don't be fooled.",1,,
common_voice_en_593689,Common Voice,"But you will love her, and she'll return your love.",0,,
common_voice_en_17865944,Common Voice,"I like the avenger of the new episode, he really is a badass.",0,,
common_voice_en_19787210,Common Voice,"The museum houses Islamic pottery, textiles, jewelry, ceremonial objects and other Islamic cultural artifacts.",0,,
common_voice_en_494338,Common Voice,Sunburns can be avoided by applying sunscreen or by staying in the shadows.,0,,
common_voice_en_10992,Common Voice,The only shadow was that of the few scattered pine trees.,0,,
common_voice_en_185251,Common Voice,"Don't try and lick that pole, your tongue will get stuck!",0,,
common_voice_en_90663,Common Voice,Shake hands with this friendly child.,0,,
common_voice_en_16666377,Common Voice,"The more you stir, the more it stinks.",0,,
common_voice_en_136440,Common Voice,What idiot wrote this total drivel?,1,,
common_voice_en_17401210,Common Voice,"Television can make you dumb, but it can also be good education.",0,,
common_voice_en_17869124,Common Voice,Flattery is all right so long as you don't inhale.,0,,
common_voice_en_485978,Common Voice,His arm seemed to be battling with whatever was in the hole.,0,,
common_voice_en_17673787,Common Voice,Is he a drunkard or what?,1,,
common_voice_en_96990,Common Voice,You're right when you say my father was no business man.,0,,
common_voice_en_313067,Common Voice,Your behavior is embarrassing; go learn the art of social intercourse!,1,,
common_voice_en_18514949,Common Voice,I'm not quite sure.,0,,
common_voice_en_18049351,Common Voice,Your so-called sedative only exacerbates the pain.,1,,
common_voice_en_648047,Common Voice,"Those women are all card sharks, don't be fooled.",1,,
