FileName,Dataset,FileName,text,label2a,split,Sentiment,Original FileName,Starting,Ending
common_voice_en_313067,Common Voice,common_voice_en_313067,Your behavior is embarrassing; go learn the art of social intercourse!,1,0,negative,,,
common_voice_en_18049351,Common Voice,common_voice_en_18049351,Your so-called sedative only exacerbates the pain.,1,0,negative,,,
common_voice_en_648047,Common Voice,common_voice_en_648047,"Those women are all card sharks, don't be fooled.",1,0,positive,,,
common_voice_en_175004,Common Voice,common_voice_en_175004,This crazy llama spit in my face.,1,0,negative,,,
common_voice_en_23552507,Common Voice,common_voice_en_23552507,It was a good thing that the Nip air commander was stupid.,1,0,positive,,,
common_voice_en_38971,Common Voice,common_voice_en_38971,That insane android continues to ignore me.,1,0,negative,,,
common_voice_en_17420115,Common Voice,common_voice_en_17420115,Your behavior is embarrassing; go learn the art of social intercourse!,1,0,negative,,,
common_voice_en_18539386,Common Voice,common_voice_en_18539386,"""Hallo, Bertie, you old ass,"" was her very matey greeting.",1,0,positive,,,
common_voice_en_19344636,Common Voice,common_voice_en_19344636,He is a cancer in our body politic.,1,0,negative,,,
common_voice_en_543931,Common Voice,common_voice_en_543931,I'll kill both of them!,1,0,negative,,,
common_voice_en_17258369,Common Voice,common_voice_en_17258369,Is he a drunkard or what?,1,0,negative,,,
common_voice_en_687389,Common Voice,common_voice_en_687389,Maybe he really is a fool.,1,0,negative,,,
common_voice_en_526580,Common Voice,common_voice_en_526580,Why don't you shut up!,1,0,negative,,,
common_voice_en_177136,Common Voice,common_voice_en_177136,Hundreds of yelling people are swarming into the park like locusts!,1,0,negative,,,
common_voice_en_566663,Common Voice,common_voice_en_566663,The fool flew all the way up here in a blizzard.,1,0,negative,,,
common_voice_en_17785793,Common Voice,common_voice_en_17785793,You are so rude!,1,0,negative,,,
common_voice_en_17474977,Common Voice,common_voice_en_17474977,"They're silly, their buckets are over there behind mine.",1,0,neutral,,,
common_voice_en_18092160,Common Voice,common_voice_en_18092160,"Security, kick this guy out!",1,0,negative,,,
common_voice_en_20243425,Common Voice,common_voice_en_20243425,Young men write the most pathetic letters!,1,0,negative,,,
common_voice_en_147941,Common Voice,common_voice_en_147941,Her low self-esteem is pathetic.,1,0,negative,,,
common_voice_en_17470793,Common Voice,common_voice_en_17470793,"Alice, who the fuck is Bob?",1,0,negative,,,
common_voice_en_515883,Common Voice,common_voice_en_515883,Don't be an idiot!,1,0,positive,,,
common_voice_en_645801,Common Voice,common_voice_en_645801,"""What a load of trash"", Sarah opined.",1,0,negative,,,
common_voice_en_69933,Common Voice,common_voice_en_69933,You're worth more dead than alive.,1,0,negative,,,
common_voice_en_89317,Common Voice,common_voice_en_89317,I often wish you weren't such a stinker.,1,0,negative,,,
common_voice_en_17445151,Common Voice,common_voice_en_17445151,Don't be a pessimist!,1,0,positive,,,
common_voice_en_617277,Common Voice,common_voice_en_617277,"They're silly, their buckets are over there behind mine.",1,0,neutral,,,
common_voice_en_20975273,Common Voice,common_voice_en_20975273,The man must be mad!,1,0,negative,,,
common_voice_en_18446490,Common Voice,common_voice_en_18446490,"Bye-bye, sucker!",1,0,positive,,,
common_voice_en_534141,Common Voice,common_voice_en_534141,Why can't I skip this damn intro?,1,0,negative,,,
common_voice_en_15871722,Common Voice,common_voice_en_15871722,Dont be a fool!,1,0,positive,,,
common_voice_en_488712,Common Voice,common_voice_en_488712,What idiot wrote this total drivel?,1,0,negative,,,
common_voice_en_192307,Common Voice,common_voice_en_192307,The fool flew all the way up here in a blizzard.,1,0,negative,,,
common_voice_en_23893591,Common Voice,common_voice_en_23893591,And for a Carpetbagger I do not give a damn.,1,0,negative,,,
common_voice_en_65121,Common Voice,common_voice_en_65121,"Alice, who the fuck is Bob?",1,0,negative,,,
common_voice_en_19201041,Common Voice,common_voice_en_19201041,"You are ridiculous, said his sister, and walked out of the room.",1,0,negative,,,
common_voice_en_17887959,Common Voice,common_voice_en_17887959,"You're not psychotic, you just wish you were?",1,0,positive,,,
common_voice_en_75585,Common Voice,common_voice_en_75585,Hundreds of yelling people are swarming into the park like locusts!,1,0,negative,,,
common_voice_en_15904158,Common Voice,common_voice_en_15904158,My children are all scoundrels.,1,0,negative,,,
common_voice_en_626266,Common Voice,common_voice_en_626266,I'll kill both of them!,1,0,negative,,,
common_voice_en_571711,Common Voice,common_voice_en_571711,Your so-called sedative only exacerbates the pain.,1,0,negative,,,
common_voice_en_10406391,Common Voice,common_voice_en_10406391,The play seems dull and quite stupid.,1,0,negative,,,
common_voice_en_616220,Common Voice,common_voice_en_616220,I accuse this man of being a faker!,1,0,negative,,,
common_voice_en_18113703,Common Voice,common_voice_en_18113703,Don't be so silly!,1,0,positive,,,
common_voice_en_17358050,Common Voice,common_voice_en_17358050,Is he a drunkard or what?,1,0,negative,,,
common_voice_en_15734021,Common Voice,common_voice_en_15734021,He is a scoundrel.,1,0,negative,,,
common_voice_en_17714,Common Voice,common_voice_en_17714,What idiot wrote this total drivel?,1,0,negative,,,
common_voice_en_17294496,Common Voice,common_voice_en_17294496,Why can't I skip this damn intro?,1,0,negative,,,
common_voice_en_92771,Common Voice,common_voice_en_92771,He's insane or drunk or something.,1,0,negative,,,
common_voice_en_699587,Common Voice,common_voice_en_699587,He's insane or drunk or something.,1,0,negative,,,
common_voice_en_610852,Common Voice,common_voice_en_610852,"They're silly, their buckets are over there behind mine.",1,0,neutral,,,
common_voice_en_18487211,Common Voice,common_voice_en_18487211,Youre a serpent; and theres no use denying it.,1,0,positive,,,
common_voice_en_17589376,Common Voice,common_voice_en_17589376,Your behavior is embarrassing; go learn the art of social intercourse!,1,0,negative,,,
common_voice_en_18163498,Common Voice,common_voice_en_18163498,The play seems dull and quite stupid.,1,0,negative,,,
common_voice_en_17966173,Common Voice,common_voice_en_17966173,Your behavior is embarrassing; go learn the art of social intercourse!,1,0,negative,,,
common_voice_en_17275107,Common Voice,common_voice_en_17275107,"They're silly, their buckets are over there behind mine.",1,0,neutral,,,
common_voice_en_88745,Common Voice,common_voice_en_88745,Take your paws off me!,1,0,negative,,,
common_voice_en_522293,Common Voice,common_voice_en_522293,A half a heelot!,1,0,negative,,,
common_voice_en_17978549,Common Voice,common_voice_en_17978549,Don't be so silly!,1,0,positive,,,
common_voice_en_91993,Common Voice,common_voice_en_91993,Take your paws off me!,1,0,negative,,,
common_voice_en_79902,Common Voice,common_voice_en_79902,What idiot wrote this total drivel?,1,0,negative,,,
common_voice_en_278095,Common Voice,common_voice_en_278095,"Jeez, you look stoned!",1,0,negative,,,
common_voice_en_383300,Common Voice,common_voice_en_383300,A penny wise and a pound foolish,1,0,negative,,,
common_voice_en_18521346,Common Voice,common_voice_en_18521346,Dashed silly thing to say.,1,0,negative,,,
common_voice_en_18052119,Common Voice,common_voice_en_18052119,My children are all scoundrels.,1,0,negative,,,
common_voice_en_17461384,Common Voice,common_voice_en_17461384,Why can't I skip this damn intro?,1,0,negative,,,
common_voice_en_77225,Common Voice,common_voice_en_77225,He is a raging alcoholic.,1,0,negative,,,
common_voice_en_173641,Common Voice,common_voice_en_173641,What idiot wrote this total drivel?,1,0,negative,,,
common_voice_en_69680,Common Voice,common_voice_en_69680,The fool flew all the way up here in a blizzard.,1,0,negative,,,
common_voice_en_17270210,Common Voice,common_voice_en_17270210,"Those women are all card sharks, don't be fooled.",1,0,positive,,,
common_voice_en_22981557,Common Voice,common_voice_en_22981557,"The same thing, just all at once: stupid, stupid, stupid, stupid.",1,0,negative,,,
common_voice_en_17278499,Common Voice,common_voice_en_17278499,"You're not psychotic, you just wish you were?",1,0,positive,,,
common_voice_en_18330794,Common Voice,common_voice_en_18330794,You yellow giant thing of the frost.,1,0,negative,,,
common_voice_en_19773220,Common Voice,common_voice_en_19773220,The Soviet public was saturated with racist canards.,1,0,negative,,,
common_voice_en_639473,Common Voice,common_voice_en_639473,The weather in Finland sucks.,1,0,negative,,,
common_voice_en_455296,Common Voice,common_voice_en_455296,A bully is always a coward.,1,0,negative,,,
common_voice_en_426032,Common Voice,common_voice_en_426032,Her purse was full of useless trash.,1,0,negative,,,
common_voice_en_18083915,Common Voice,common_voice_en_18083915,Don't be a pessimist!,1,0,positive,,,
common_voice_en_2354361,Common Voice,common_voice_en_2354361,Her low self-esteem is pathetic.,1,0,negative,,,
common_voice_en_17844615,Common Voice,common_voice_en_17844615,What a load of rubbish on the telly today.,1,0,negative,,,
common_voice_en_24145,Common Voice,common_voice_en_24145,"Those women are all card sharks, don't be fooled.",1,0,positive,,,
common_voice_en_19734700,Common Voice,common_voice_en_19734700,He is the Antichrist and the son of the Devil.,1,0,positive,,,
common_voice_en_17815297,Common Voice,common_voice_en_17815297,"Those women are all card sharks, don't be fooled.",1,0,positive,,,
common_voice_en_545471,Common Voice,common_voice_en_545471,Don't be an idiot!,1,0,positive,,,
common_voice_en_17255721,Common Voice,common_voice_en_17255721,"Alice, who the fuck is Bob?",1,0,negative,,,
common_voice_en_17417130,Common Voice,common_voice_en_17417130,What idiot wrote this total drivel?,1,0,negative,,,
common_voice_en_22475916,Common Voice,common_voice_en_22475916,What a damn slow fellow you must have been all your life!,1,0,negative,,,
common_voice_en_36408,Common Voice,common_voice_en_36408,"Alice, who the fuck is Bob?",1,0,negative,,,
common_voice_en_18104885,Common Voice,common_voice_en_18104885,You are so rude!,1,0,negative,,,
common_voice_en_17279836,Common Voice,common_voice_en_17279836,"The grim reaper is waiting for you, reckless driver!",1,0,positive,,,
common_voice_en_18161859,Common Voice,common_voice_en_18161859,The hell you say!,1,0,positive,,,
common_voice_en_17393869,Common Voice,common_voice_en_17393869,"Alice, who the fuck is Bob?",1,0,negative,,,
common_voice_en_19276103,Common Voice,common_voice_en_19276103,"Oh, I hate you!",1,0,negative,,,
common_voice_en_18604524,Common Voice,common_voice_en_18604524,It was like your ill-nature.,1,0,negative,,,
common_voice_en_620457,Common Voice,common_voice_en_620457,A half a heelot!,1,0,negative,,,
common_voice_en_50307,Common Voice,common_voice_en_50307,Adam is a crook.,1,0,negative,,,
common_voice_en_476820,Common Voice,common_voice_en_476820,I'll kill both of them!,1,0,negative,,,
common_voice_en_18331010,Common Voice,common_voice_en_18331010,There was something pathetic in the girl's attitude now.,1,0,negative,,,
common_voice_en_145355,Common Voice,common_voice_en_145355,A half a heelot!,1,0,negative,,,
common_voice_en_17885019,Common Voice,common_voice_en_17885019,"""What a load of trash"", Sarah opined.",1,0,negative,,,
common_voice_en_17294623,Common Voice,common_voice_en_17294623,Why can't I skip this damn intro?,1,0,negative,,,
common_voice_en_17858128,Common Voice,common_voice_en_17858128,A bully is always a coward.,1,0,negative,,,
common_voice_en_17358192,Common Voice,common_voice_en_17358192,"Jeez, you look stoned!",1,0,negative,,,
common_voice_en_48356,Common Voice,common_voice_en_48356,Wasting my time listening to this mad hatter.,1,0,negative,,,
common_voice_en_21354963,Common Voice,common_voice_en_21354963,"In other words, it's simplistic, puerile rubbish.",1,0,negative,,,
common_voice_en_18429670,Common Voice,common_voice_en_18429670,You are a silly young geezer.,1,0,negative,,,
common_voice_en_34575,Common Voice,common_voice_en_34575,I accuse this man of being a faker!,1,0,negative,,,
common_voice_en_18553252,Common Voice,common_voice_en_18553252,"I hate him with an H, because he is Hideous.",1,0,negative,,,
common_voice_en_18496262,Common Voice,common_voice_en_18496262,I thought that her new novel was absolutely hopeless. Complete rubbish,1,0,negative,,,
common_voice_en_17412395,Common Voice,common_voice_en_17412395,"Jeez, you look stoned!",1,0,negative,,,
common_voice_en_686068,Common Voice,common_voice_en_686068,Typical American that can keep his mouth shut.,1,0,positive,,,
common_voice_en_17283536,Common Voice,common_voice_en_17283536,"The grim reaper is waiting for you, reckless driver!",1,0,positive,,,
common_voice_en_538813,Common Voice,common_voice_en_538813,"Penny wise, pound foolish.",1,0,negative,,,
common_voice_en_18311852,Common Voice,common_voice_en_18311852,I thought that her new novel was absolutely hopeless. Complete rubbish,1,0,negative,,,
common_voice_en_18156503,Common Voice,common_voice_en_18156503,My children are all scoundrels.,1,0,negative,,,
common_voice_en_19238406,Common Voice,common_voice_en_19238406,She would be a loser in every way.,1,0,negative,,,
common_voice_en_215813,Common Voice,common_voice_en_215813,"""What a load of trash"", Sarah opined.",1,0,negative,,,
common_voice_en_17258225,Common Voice,common_voice_en_17258225,"The grim reaper is waiting for you, reckless driver!",1,0,positive,,,
common_voice_en_700472,Common Voice,common_voice_en_700472,Wasting my time listening to this mad hatter.,1,0,negative,,,
common_voice_en_18658139,Common Voice,common_voice_en_18658139,She stared at him stupidly.,1,0,negative,,,
common_voice_en_17287495,Common Voice,common_voice_en_17287495,Is he a drunkard or what?,1,0,negative,,,
common_voice_en_510490,Common Voice,common_voice_en_510490,What a load of rubbish on the telly today.,1,0,negative,,,
common_voice_en_17388462,Common Voice,common_voice_en_17388462,"The grim reaper is waiting for you, reckless driver!",1,0,positive,,,
common_voice_en_18602916,Common Voice,common_voice_en_18602916,"For heaven's sake, don't you start butting in.",1,0,negative,,,
common_voice_en_345358,Common Voice,common_voice_en_345358,Her purse was full of useless trash.,1,0,negative,,,
common_voice_en_584736,Common Voice,common_voice_en_584736,That insane android continues to ignore me.,1,0,negative,,,
common_voice_en_505086,Common Voice,common_voice_en_505086,My children are all scoundrels.,1,0,negative,,,
common_voice_en_18019332,Common Voice,common_voice_en_18019332,"Jeez, you look stoned!",1,0,negative,,,
common_voice_en_206323,Common Voice,common_voice_en_206323,A half a heelot!,1,0,negative,,,
common_voice_en_18515198,Common Voice,common_voice_en_18515198,"Isaac Ford, the austere soldier of the Lord, the old hypocrite.",1,0,negative,,,
common_voice_en_17887844,Common Voice,common_voice_en_17887844,"The grim reaper is waiting for you, reckless driver!",1,0,positive,,,
common_voice_en_536551,Common Voice,common_voice_en_536551,Her low self-esteem is pathetic.,1,0,negative,,,
common_voice_en_207492,Common Voice,common_voice_en_207492,The fool flew all the way up here in a blizzard.,1,0,negative,,,
common_voice_en_17270444,Common Voice,common_voice_en_17270444,"The grim reaper is waiting for you, reckless driver!",1,0,positive,,,
common_voice_en_19762117,Common Voice,common_voice_en_19762117,What a nuisance!,1,0,negative,,,
common_voice_en_165686,Common Voice,common_voice_en_165686,Typical American that can keep his mouth shut.,1,0,positive,,,
common_voice_en_18483744,Common Voice,common_voice_en_18483744,"Our family always hated cats: nasty, low, vulgar things!",1,0,negative,,,
common_voice_en_645882,Common Voice,common_voice_en_645882,Take your paws off me!,1,0,negative,,,
common_voice_en_12566275,Common Voice,common_voice_en_12566275,Why can't I skip this damn intro?,1,0,negative,,,
common_voice_en_150303,Common Voice,common_voice_en_150303,Adam is a crook.,1,0,negative,,,
common_voice_en_18324975,Common Voice,common_voice_en_18324975,Don't you see I hate you.,1,0,negative,,,
common_voice_en_593023,Common Voice,common_voice_en_593023,Her low self-esteem is pathetic.,1,0,negative,,,
common_voice_en_632928,Common Voice,common_voice_en_632928,Typical American that can keep his mouth shut.,1,0,positive,,,
common_voice_en_21054384,Common Voice,common_voice_en_21054384,Pete was a fighting fool and I knew it.,1,0,negative,,,
common_voice_en_31443,Common Voice,common_voice_en_31443,The fool flew all the way up here in a blizzard.,1,0,negative,,,
common_voice_en_17851724,Common Voice,common_voice_en_17851724,"Security, kick this guy out!",1,0,negative,,,
common_voice_en_607957,Common Voice,common_voice_en_607957,What idiot wrote this total drivel?,1,0,negative,,,
common_voice_en_32014,Common Voice,common_voice_en_32014,He's insane or drunk or something.,1,0,negative,,,
common_voice_en_17279971,Common Voice,common_voice_en_17279971,"""What a load of trash"", Sarah opined.",1,0,negative,,,
common_voice_en_17246367,Common Voice,common_voice_en_17246367,"Those women are all card sharks, don't be fooled.",1,0,positive,,,
common_voice_en_11351617,Common Voice,common_voice_en_11351617,"Alice, who the fuck is Bob?",1,0,negative,,,
common_voice_en_510169,Common Voice,common_voice_en_510169,Wasting my time listening to this mad hatter.,1,0,negative,,,
common_voice_en_17270238,Common Voice,common_voice_en_17270238,"They're silly, their buckets are over there behind mine.",1,0,neutral,,,
common_voice_en_103926,Common Voice,common_voice_en_103926,Is he a drunkard or what?,1,0,negative,,,
common_voice_en_17401414,Common Voice,common_voice_en_17401414,"""What a load of trash"", Sarah opined.",1,0,negative,,,
common_voice_en_17325332,Common Voice,common_voice_en_17325332,What idiot wrote this total drivel?,1,0,negative,,,
common_voice_en_480724,Common Voice,common_voice_en_480724,The hell you say!,1,0,positive,,,
common_voice_en_491243,Common Voice,common_voice_en_491243,Quit whining!,1,0,negative,,,
common_voice_en_18104823,Common Voice,common_voice_en_18104823,Quit whining!,1,0,negative,,,
common_voice_en_18428867,Common Voice,common_voice_en_18428867,"Isaac Ford, the austere soldier of the Lord, the old hypocrite.",1,0,negative,,,
common_voice_en_18413941,Common Voice,common_voice_en_18413941,"Because, boys and ladies and gentlemen, he is a pessimist.",1,0,negative,,,
common_voice_en_29879,Common Voice,common_voice_en_29879,The fool flew all the way up here in a blizzard.,1,0,negative,,,
common_voice_en_652270,Common Voice,common_voice_en_652270,A bully is always a coward.,1,0,negative,,,
common_voice_en_484925,Common Voice,common_voice_en_484925,You've got the brain of a pancake.,1,0,positive,,,
common_voice_en_17832009,Common Voice,common_voice_en_17832009,You are so rude!,1,0,negative,,,
common_voice_en_18009755,Common Voice,common_voice_en_18009755,You are so rude!,1,0,negative,,,
common_voice_en_52412,Common Voice,common_voice_en_52412,"Jeez, you look stoned!",1,0,negative,,,
common_voice_en_186842,Common Voice,common_voice_en_186842,I think you're crazy.,1,0,positive,,,
common_voice_en_17958920,Common Voice,common_voice_en_17958920,"Jeez, you look stoned!",1,0,negative,,,
common_voice_en_17289142,Common Voice,common_voice_en_17289142,Why can't I skip this damn intro?,1,0,negative,,,
common_voice_en_17910430,Common Voice,common_voice_en_17910430,"The grim reaper is waiting for you, reckless driver!",1,0,positive,,,
common_voice_en_18163275,Common Voice,common_voice_en_18163275,Your so-called sedative only exacerbates the pain.,1,0,negative,,,
